item,prob,qty,depth
nc_fire:lump_ash,1279,8,32000
nc_terrain:cobble,974,68,-384
nc_terrain:cobble_loose,765,64,32000
nc_tree:eggcorn,514,13,32000
nc_fire:ash,500,30,32000
nc_tree:stick,413,61,32000
nc_stonework:chip,405,16,-16
nc_terrain:dirt_loose,336,26,32000
nc_tree:leaves_loose,291,54,32000
nc_terrain:sand_loose,240,20,32000
nc_woodwork:plank,233,31,32000
nc_woodwork:adze,231,1,32000
nc_terrain:gravel_loose,231,21,32000
nc_terrain:gravel,229,50,32000
nc_tree:log,224,72,32000
nc_woodwork:rake,159,1,32000
nc_terrain:dirt,154,49,32000
nc_fire:lump_coal,120,17,-64
nc_terrain:sand,117,53,32000
nc_woodwork:toolhead_mallet,100,1,32000
nc_woodwork:ladder,96,24,32000
nc_terrain:stone,88,57,-384
nc_woodwork:staff,80,27,32000
nc_stonework:tool_pick,79,1,-16
nc_stonework:tool_hatchet,77,1,-16
nc_sponge:sponge_wet,76,37,-16
nc_stonework:tool_mallet,75,1,32000
nc_concrete:stylus,73,1,-16
nc_woodwork:frame,69,20,32000
nc_fire:coal1,68,10,32000
nc_optics:glass,61,38,-256
nc_stonework:tool_spade,55,1,-16
nc_optics:glass_crude,52,26,-256
nc_fire:coal4,49,12,32000
nc_fire:coal3,46,8,32000
nc_woodwork:tool_spade,40,1,32000
nc_fire:coal8,40,27,-64
nc_optics:lens,40,33,-256
nc_woodwork:tool_pick,39,1,32000
nc_fire:coal2,34,5,32000
nc_woodwork:tool_hatchet,32,1,32000
nc_optics:glass_opaque,32,44,-256
nc_torch:torch,30,18,-64
nc_woodwork:tool_mallet,27,1,32000
nc_tree:humus_loose,27,66,-16
nc_lode:cobble_loose,27,14,-128
nc_lode:prill_annealed,25,23,-128
nc_doors:panel_cobble,24,16,-256
nc_sponge:sponge,23,11,-16
nc_stonework:bricks_stone_bonded,21,41,32000
nc_optics:prism,21,40,-256
nc_lode:rod_tempered,20,1,-128
nc_lode:prill_tempered,19,8,-128
nc_tote:handle,17,1,-512
nc_lux:cobble1,16,12,-384
nc_fire:coal5,15,4,32000
nc_tree:peat,15,29,-16
nc_concrete:render,15,27,-80
nc_optics:glass_float,15,39,-128
nc_doors:panel_plank,14,26,-256
nc_concrete:aggregate,13,51,-80
nc_woodwork:toolhead_hatchet,12,1,32000
nc_concrete:mud,12,21,-80
nc_lode:tool_hatchet_tempered,11,1,-128
nc_lode:tool_mattock_tempered,11,1,-128
nc_stonework:bricks_stone,10,20,32000
nc_tree:humus,10,53,32000
nc_fire:coal7,9,3,-64
nc_lode:tool_mallet_tempered,9,1,-128
nc_lux:cobble1_loose,9,2,-384
nc_woodwork:toolhead_spade,8,1,32000
nc_concrete:adobe,8,7,-80
nc_lode:tool_spade_tempered,8,1,-128
nc_lode:bar_annealed,8,2,-128
nc_lode:tool_pick_tempered,7,1,-128
nc_woodwork:toolhead_pick,6,1,32000
nc_sponge:sponge_living,6,39,-16
nc_concrete:sandstone,6,3,-80
nc_lode:block_annealed,6,2,-128
nc_lode:bar_tempered,6,2,-128
nc_lode:block_tempered,6,1,-128
nc_terrain:dirt_with_grass,6,7,-384
nc_lode:rod_annealed,4,1,-128
nc_lode:cobble,4,36,-128
nc_lode:tool_hatchet_annealed,4,1,-128
nc_stonework:bricks_adobe_bonded,3,9,-80
nc_stonework:bricks_sandstone_bonded,3,49,-80
nc_stonework:bricks_adobe,3,5,-80
nc_lode:rake_tempered,3,1,-128
nc_concrete:concrete_adobe_verty,3,11,-384
